Company_name,Industry,Sector,Country,Type_of_Document,Publication_Year,url
Jabil Inc,Electronic Manufacturing Services & Original Design Manufacturing,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://www.jabil.com/dam/jcr:13e2fd90-9fa0-4103-9061-85efa1b725ba/jabil-ser-report-2019.pdf
JBG SMITH Properties,Real Estate,Infrastructure,United States,Corporate Responsibility Reports,2020,https://api-jbgsmith.reol.com/pdf?file_name=sustainability_report_2020.pdf
JLL - Jones Lang LaSalle Inc,Real Estate Services,Infrastructure,United States,Corporate Responsibility Reports,2020,https://www.jll.com.mx/content/dam/jll-com/documents/pdf/other/JLL-2019-Global-Sustainability-Report.pdf
Johnson Controls International,Electrical & Electronic Equipment,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://www.johnsoncontrols.com/-/media/jci/corporate-sustainability/reporting-and-policies/gri/2019/johnson_controls_2020-sustainability-report.pdf?la=en&hash=63C4727C436616C656A41E32DC0613A2421F3657
JPMorgan Chase & Co,Investment Banking & Brokerage,Financials,United States,Corporate Responsibility Reports,2020,https://about.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/documents/jpmc-cr-sasb-index-2019.pdf
Juniper Networks Inc,Hardware,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://www.juniper.net/assets/us/en/local/pdf/fact-sheets-backgrounder/3000071-en.pdf
KB Financial Group Inc,Commercial Banks,Financials,South Korea,Corporate Responsibility Reports,2020,https://www.kbfg.com/common/jsp/fileDownUtil.jsp?filepath=/Eng/about/sustainability/__attachFile/2019_KB_FInancial_Group_SR_Eng.pdf
KBC Group NV,Commercial Banks,Financials,Belgium,Corporate Responsibility Reports,2020,https://www.kbc.com/content/dam/kbccom/doc/sustainability-reponsability/PerfRep/2019/CSR_SR_2019_en.pdf
KBR Inc,Engineering & Construction Services,Infrastructure,United States,Corporate Responsibility Reports,2020,https://www.kbr.com/sites/default/files/2020-12/Sustainability_Report_2019_0.pdf
KDDI Corp,Telecommunication Services,Technology & Communications,Japan,Corporate Responsibility Reports,2020,https://www.kddi.com/extlib/files/english/corporate/csr/csr_report/2020/pdf/report2020_en-interactive.pdf
Kellogg Co,Processed Foods,Food & Beverage,United States,Corporate Responsibility Reports,2020,http://crreport.kelloggcompany.com/download/2019-20-SASB-DRAFT-5-29-20_FINAL.pdf
KEMET Corp,Electronic Manufacturing Services & Original Design Manufacturing,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://www.kemet.com/content/dam/kemet/lightning/documents/kemet-docs/2019-corporate-sustainability-report.pdf
Kennametal Inc.,Industrial Machinery & Goods,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://www.kennametal.com/content/dam/kennametal/kennametal/common/About%20Us/corporate-sustainability/Kennametal%20FY20%20ESG%20Report.pdf
Kimberly-Clark Corp,Household & Personal Products,Consumer Goods,United States,Corporate Responsibility Reports,2020,https://www.kimberly-clark.com/-/media/kimberly/pdf/sustainability-reports/2019/kc-2019-sustainability-report-addendum.pdf
Kinder Morgan Canada Ltd,Oil & Gas â€“ Midstream,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://www.kindermorgan.com/WWWKM/media/Documents/2019_ESG_Report.pdf
KKR & Co Inc,Asset Management & Custody Activities,Financials,United States,Corporate Responsibility Reports,2020,https://kkresg.com/assets/uploads/pdfs/KKR_2019-SASB-Report_vF_FINAL.pdf
Knight-Swift Transportation Holdings Inc,Road Transportation,Transportation,United States,Corporate Responsibility Reports,2020,https://www.knighttrans.com/SustainabilityReport.pdf
Korn Ferry International,Professional & Commercial Services,Services,United States,Corporate Responsibility Reports,2020,https://www.kornferry.com/content/dam/kornferry/docs/pdfs/korn-ferry-sasb-report.pdf
Kosmos Energy Ltd,Oil & Gas â€“ Exploration & Production,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://www.kosmosenergy.com/wp-content/uploads/2020/12/Kosmos_SustainabilityReport_2019-2020.pdf
KT&G Corp,Tobacco,Food & Beverage,South Korea,Corporate Responsibility Reports,2020,https://en.ktng.com/download?CMS_CD=CM0046&fnm=CM0046_10_attc.pdf&orgFnm=2019+KT%26G+Report_Eng.pdf
Kyushu Electric Power Co Inc,Electric Utilities & Power Generators,Infrastructure,Japan,Corporate Responsibility Reports,2020,https://www.kyuden.co.jp/library/pdf/en/ir/annual_report_fy2020.pdf#page=62
